Date,Open,High,Low,Close,Adj Close,Volume
2008-07-03,662.000000,663.900024,640.099976,655.000000,588.488159,225414
2008-07-04,654.450012,668.900024,628.099976,645.150024,582.975891,380429
2008-07-07,650.000000,654.000000,633.150024,640.049988,578.367310,233431
2008-07-08,625.549988,656.000000,625.549988,644.750000,582.614502,130297
2008-07-09,675.000000,675.000000,651.099976,655.950012,592.734985,348338
2008-07-10,665.000000,665.000000,649.500000,652.900024,589.979126,204112
2008-07-11,655.000000,659.000000,639.099976,648.500000,586.003174,240343
2008-07-14,648.500000,666.000000,642.700012,656.400024,593.141785,257019
2008-07-15,651.000000,652.900024,637.950012,647.849976,585.415710,184721
2008-07-16,643.000000,653.950012,623.299988,630.549988,569.782837,478514
2008-07-17,639.000000,649.000000,633.000000,642.450012,580.536194,227606
2008-07-18,645.000000,670.500000,642.049988,662.799988,598.925110,547879
2008-07-21,661.000000,697.500000,652.000000,677.799988,612.479431,1024567
2008-07-22,660.000000,668.900024,611.500000,627.200012,566.755798,1122256
2008-07-23,643.900024,669.599976,624.500000,632.549988,571.590271,839032
2008-07-24,632.549988,643.000000,613.000000,639.900024,578.231873,407424
2008-07-25,620.549988,639.000000,620.549988,634.950012,573.758911,389577
2008-07-28,633.000000,649.900024,620.150024,629.599976,568.924377,160322
2008-07-29,621.000000,621.000000,581.049988,592.799988,535.670898,1016384
2008-07-30,596.000000,598.950012,582.200012,585.549988,529.119629,545115
2008-07-31,590.000000,594.000000,565.099976,569.150024,514.300171,1308356
2008-08-01,550.549988,592.900024,550.549988,584.849976,528.487000,298440
2008-08-04,587.000000,593.000000,574.000000,587.450012,530.836548,239170
2008-08-05,588.000000,594.000000,578.099976,589.450012,532.643799,1120581
2008-08-06,597.000000,608.000000,577.700012,582.900024,526.725098,1681927
2008-08-07,590.000000,618.950012,582.500000,609.799988,551.032654,359318
2008-08-08,606.799988,631.900024,602.000000,625.900024,565.581116,297828
2008-08-11,645.000000,645.000000,603.700012,608.849976,550.174133,889631
2008-08-12,629.500000,629.500000,591.000000,598.400024,540.731323,568046
2008-08-13,582.549988,612.000000,582.549988,600.599976,542.719238,157755
2008-08-14,600.000000,600.000000,583.099976,589.150024,532.372742,486047
2008-08-18,589.950012,607.299988,582.099976,603.799988,545.610779,206059
2008-08-19,602.000000,614.400024,600.049988,602.650024,544.571594,253951
2008-08-20,606.549988,612.000000,598.099976,602.599976,544.526672,210090
2008-08-21,591.000000,608.000000,588.200012,592.799988,535.670898,198111
2008-08-22,600.000000,600.000000,580.049988,585.099976,528.713074,159197
2008-08-25,590.049988,598.000000,581.150024,587.349976,530.746155,149482
2008-08-26,583.049988,590.700012,571.000000,573.700012,518.411743,167452
2008-08-27,579.000000,597.049988,575.000000,589.700012,532.869629,470904
2008-08-28,591.000000,594.750000,560.250000,566.900024,512.266968,565010
2008-08-29,586.950012,586.950012,575.000000,579.150024,523.336365,198104
2008-09-01,573.000000,594.900024,573.000000,580.099976,524.194824,357020
2008-09-02,581.000000,599.700012,580.200012,593.250000,536.077759,251936
2008-09-04,593.099976,606.900024,590.000000,600.500000,542.628967,292726
2008-09-05,594.000000,599.900024,583.250000,584.650024,528.306458,110735
2008-09-08,590.000000,604.900024,588.000000,592.049988,534.993164,284086
2008-09-09,591.000000,596.599976,572.000000,578.349976,522.613464,1265115
2008-09-10,572.000000,580.000000,566.049988,567.599976,512.899475,306256
2008-09-11,574.000000,574.000000,555.000000,559.400024,505.489777,82514
2008-09-12,562.000000,571.799988,551.000000,570.150024,515.203918,335188
2008-09-15,557.000000,570.000000,538.000000,561.500000,507.387482,125522
2008-09-16,550.000000,560.000000,524.500000,537.799988,485.971436,400836
2008-09-17,538.000000,547.000000,519.000000,521.750000,471.468109,418852
2008-09-18,515.000000,529.900024,487.250000,518.750000,468.757233,454739
2008-09-19,522.099976,542.000000,515.000000,520.150024,470.022430,437606
2008-09-22,538.000000,538.000000,515.599976,529.299988,478.290619,318990
2008-09-23,521.000000,527.000000,517.049988,523.549988,473.094696,356455
2008-09-24,520.000000,531.950012,516.099976,523.599976,473.139832,240008
2008-09-25,520.000000,529.000000,506.100006,521.549988,471.287384,466379
2008-09-26,518.500000,518.500000,512.000000,515.650024,465.955994,91854
2008-09-29,515.000000,588.250000,495.899994,507.850006,458.907745,285802
2008-09-30,490.100006,515.000000,465.000000,509.950012,460.805389,205631
2008-10-01,564.000000,564.000000,510.000000,532.450012,481.136993,74386
2008-10-03,516.000000,562.000000,516.000000,550.099976,497.085999,414573
2008-10-06,539.900024,539.900024,470.049988,475.750000,429.901215,750151
2008-10-07,480.000000,491.899994,445.000000,450.000000,406.632782,189387
2008-10-08,431.950012,483.500000,410.000000,465.149994,420.322815,771314
2008-10-10,445.000000,459.799988,401.200012,436.250000,394.207886,1222090
2008-10-13,449.250000,449.250000,401.000000,430.750000,389.237946,646873
2008-10-14,449.250000,463.399994,442.100006,455.600006,411.693146,164612
2008-10-15,456.000000,466.000000,411.100006,442.899994,400.217041,332895
2008-10-16,420.000000,466.750000,414.049988,451.399994,407.897919,613834
2008-10-17,460.000000,465.000000,440.250000,448.450012,405.232239,128291
2008-10-20,438.000000,505.000000,435.600006,484.700012,437.988770,676857
2008-10-21,490.000000,526.950012,471.500000,509.799988,460.669739,1020408
2008-10-22,512.000000,512.000000,470.100006,480.200012,433.922424,565250
2008-10-23,436.250000,478.799988,436.250000,465.600006,420.729370,724280
2008-10-24,425.549988,463.000000,425.549988,444.600006,401.753235,483272
2008-10-27,448.250000,448.250000,423.000000,425.700012,384.674683,212802
2008-10-29,430.000000,438.500000,404.000000,416.200012,376.090179,1254388
2008-10-31,425.000000,464.899994,419.000000,429.899994,388.469879,562630
2008-11-03,436.000000,436.000000,398.149994,403.000000,364.162231,853239
2008-11-04,407.000000,419.000000,395.000000,401.250000,362.580933,899546
2008-11-05,407.500000,414.000000,404.049988,406.850006,367.641235,439812
2008-11-06,404.000000,427.649994,400.100006,412.399994,372.656342,578061
2008-11-07,402.000000,418.000000,402.000000,408.149994,368.815918,200672
2008-11-10,418.000000,424.000000,408.049988,415.450012,375.412506,264613
2008-11-11,415.049988,433.399994,413.000000,422.299988,381.602264,544498
2008-11-12,420.500000,421.000000,408.950012,414.850006,374.870239,144592
2008-11-14,415.000000,421.000000,402.200012,405.649994,366.556854,418781
2008-11-17,406.000000,408.899994,396.500000,398.549988,360.141144,289611
2008-11-18,395.000000,408.899994,387.000000,402.100006,363.349030,151658
2008-11-19,405.049988,421.750000,405.049988,418.049988,377.761902,577016
